level_0,Site,SAN,LAN,player,from_and_piece,to_and_result,from,to,piece_moved,action,index,player_name,result,match_name,piece_id,killed
51,https://lichess.org/FXsStJfd,Nxd3,Nf4xd3,black,Nf4,d3,f4,d3,Knight,kill,53,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-N-g,W-B-f
52,https://lichess.org/FXsStJfd,Nxd3,Nf2xd3,white,Nf2,d3,f2,d3,Knight,kill,54,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-N-b,B-N-g
53,https://lichess.org/FXsStJfd,f5,f7-f5,black,f7,f5,f7,f5,Pawn,move,55,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-P-f,
54,https://lichess.org/FXsStJfd,Nc5,Nd3-c5,white,Nd3,c5,d3,c5,Knight,move,56,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-N-b,
55,https://lichess.org/FXsStJfd,Bc8,Bd7-c8,black,Bd7,c8,d7,c8,Bishop,move,57,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-B-c,
56,https://lichess.org/FXsStJfd,Rf1,Rc1-f1,white,Rc1,f1,c1,f1,Rook,move,58,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-R-h,
57,https://lichess.org/FXsStJfd,Ne7,Ng6-e7,black,Ng6,e7,g6,e7,Knight,move,59,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-N-b,
58,https://lichess.org/FXsStJfd,Qd3,Qc2-d3,white,Qc2,d3,c2,d3,Queen,move,60,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-Q,
59,https://lichess.org/FXsStJfd,fxe4,f5xe4,black,f5,e4,f5,e4,Pawn,kill,61,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-P-f,W-P-e
60,https://lichess.org/FXsStJfd,fxe4,f3xe4,white,f3,e4,f3,e4,Pawn,kill,62,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-P-f,B-P-f
61,https://lichess.org/FXsStJfd,Qg6,Qh5-g6,black,Qh5,g6,h5,g6,Queen,move,63,Vasily Borgov,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),B-Q,
62,https://lichess.org/FXsStJfd,Kg2,Kh1-g2,white,Kh1,g2,h1,g2,King,move,64,Elizabeth Harmon,white wins,Elizabeth Harmon (white) vs Vasily Borgov (black),W-K,
